Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1961,1961,ha,85000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1962,1962,ha,98000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1963,1963,ha,85000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1964,1964,ha,120000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1965,1965,ha,120000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1966,1966,ha,140000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1967,1967,ha,110000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1968,1968,ha,180000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1969,1969,ha,100000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1970,1970,ha,186500.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1971,1971,ha,188000.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1972,1972,ha,190000.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1973,1973,ha,192000.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1974,1974,ha,194700.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1975,1975,ha,198822.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1976,1976,ha,203000.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1977,1977,ha,204620.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1978,1978,ha,206000.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1979,1979,ha,209000.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1980,1980,ha,155000.000000,*
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1981,1981,ha,170000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1982,1982,ha,160000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1983,1983,ha,250000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1984,1984,ha,300000.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1985,1985,ha,150000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1986,1986,ha,150000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1987,1987,ha,150000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1988,1988,ha,153000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1989,1989,ha,153000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1990,1990,ha,146000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1991,1991,ha,148000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1992,1992,ha,163359.000000,Im
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1993,1993,ha,160000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1994,1994,ha,164000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1995,1995,ha,168200.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1996,1996,ha,168000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1997,1997,ha,168200.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1998,1998,ha,170000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,1999,1999,ha,190000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2000,2000,ha,201720.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2001,2001,ha,202340.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2002,2002,ha,202340.000000,*
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2003,2003,ha,130000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2004,2004,ha,145000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2005,2005,ha,190000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2006,2006,ha,165000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2007,2007,ha,180000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2008,2008,ha,160000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2009,2009,ha,190000.000000,F
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2010,2010,ha,162550.000000,Im
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2011,2011,ha,185123.000000,Im
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2012,2012,ha,194740.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2013,2013,ha,191120.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2014,2014,ha,194620.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2015,2015,ha,182970.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2016,2016,ha,184500.000000,
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2017,2017,ha,205166.000000,Im
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2018,2018,ha,195334.000000,Im
222,Tunisia,221,"Almonds, with shell",5312,Area harvested,2019,2019,ha,225453.000000,Im
222,Tunisia,221,"Almonds, with shell",5419,Yield,1961,1961,hg/ha,682.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1962,1962,hg/ha,684.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1963,1963,hg/ha,682.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1964,1964,hg/ha,592.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1965,1965,hg/ha,667.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1966,1966,hg/ha,700.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1967,1967,hg/ha,700.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1968,1968,hg/ha,683.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1969,1969,hg/ha,610.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1970,1970,hg/ha,563.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1971,1971,hg/ha,691.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1972,1972,hg/ha,789.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1973,1973,hg/ha,1042.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1974,1974,hg/ha,1166.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1975,1975,hg/ha,1217.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1976,1976,hg/ha,1167.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1977,1977,hg/ha,1271.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1978,1978,hg/ha,1699.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1979,1979,hg/ha,1435.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1980,1980,hg/ha,2387.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1981,1981,hg/ha,2059.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1982,1982,hg/ha,1875.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1983,1983,hg/ha,1480.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1984,1984,hg/ha,1400.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1985,1985,hg/ha,3400.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1986,1986,hg/ha,2800.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1987,1987,hg/ha,3067.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1988,1988,hg/ha,1961.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1989,1989,hg/ha,2288.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1990,1990,hg/ha,3575.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1991,1991,hg/ha,2703.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1992,1992,hg/ha,2755.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1993,1993,hg/ha,2938.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1994,1994,hg/ha,3171.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1995,1995,hg/ha,2081.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1996,1996,hg/ha,2500.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1997,1997,hg/ha,3032.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1998,1998,hg/ha,3453.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,1999,1999,hg/ha,3053.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2000,2000,hg/ha,2974.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2001,2001,hg/ha,1581.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2002,2002,hg/ha,890.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2003,2003,hg/ha,2769.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2004,2004,hg/ha,3034.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2005,2005,hg/ha,2263.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2006,2006,hg/ha,3394.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2007,2007,hg/ha,3222.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2008,2008,hg/ha,3219.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2009,2009,hg/ha,3158.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2010,2010,hg/ha,3199.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2011,2011,hg/ha,3295.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2012,2012,hg/ha,3595.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2013,2013,hg/ha,2721.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2014,2014,hg/ha,3443.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2015,2015,hg/ha,3853.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2016,2016,hg/ha,3306.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2017,2017,hg/ha,3266.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2018,2018,hg/ha,3481.000000,Fc
222,Tunisia,221,"Almonds, with shell",5419,Yield,2019,2019,hg/ha,3548.000000,Fc
222,Tunisia,221,"Almonds, with shell",5510,Production,1961,1961,tonnes,5800.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1962,1962,tonnes,6700.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1963,1963,tonnes,5800.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1964,1964,tonnes,7100.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1965,1965,tonnes,8000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1966,1966,tonnes,9800.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1967,1967,tonnes,7700.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1968,1968,tonnes,12300.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1969,1969,tonnes,6100.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1970,1970,tonnes,10500.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1971,1971,tonnes,13000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1972,1972,tonnes,15000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1973,1973,tonnes,20000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1974,1974,tonnes,22700.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1975,1975,tonnes,24200.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1976,1976,tonnes,23700.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1977,1977,tonnes,26000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1978,1978,tonnes,35000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1979,1979,tonnes,30000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1980,1980,tonnes,37000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1981,1981,tonnes,35000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1982,1982,tonnes,30000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1983,1983,tonnes,37000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1984,1984,tonnes,42000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1985,1985,tonnes,51000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1986,1986,tonnes,42000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1987,1987,tonnes,46000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1988,1988,tonnes,30000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1989,1989,tonnes,35000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1990,1990,tonnes,52200.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1991,1991,tonnes,40000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1992,1992,tonnes,45000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1993,1993,tonnes,47000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1994,1994,tonnes,52000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1995,1995,tonnes,35000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1996,1996,tonnes,42000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1997,1997,tonnes,51000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1998,1998,tonnes,58700.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,1999,1999,tonnes,58000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2000,2000,tonnes,60000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2001,2001,tonnes,32000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2002,2002,tonnes,18000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2003,2003,tonnes,36000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2004,2004,tonnes,44000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2005,2005,tonnes,43000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2006,2006,tonnes,56000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2007,2007,tonnes,58000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2008,2008,tonnes,51500.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2009,2009,tonnes,60000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2010,2010,tonnes,52000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2011,2011,tonnes,61000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2012,2012,tonnes,70000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2013,2013,tonnes,52000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2014,2014,tonnes,67000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2015,2015,tonnes,70500.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2016,2016,tonnes,61000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2017,2017,tonnes,67000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2018,2018,tonnes,68000.000000,
222,Tunisia,221,"Almonds, with shell",5510,Production,2019,2019,tonnes,80000.000000,
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1961,1961,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1962,1962,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1963,1963,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1964,1964,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1965,1965,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1966,1966,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1967,1967,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1968,1968,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1969,1969,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1970,1970,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1971,1971,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1972,1972,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1973,1973,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1974,1974,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1975,1975,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1976,1976,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1977,1977,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1978,1978,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1979,1979,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1980,1980,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1981,1981,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1982,1982,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1983,1983,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1984,1984,ha,,M
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1985,1985,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1986,1986,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1987,1987,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1988,1988,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1989,1989,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1990,1990,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1991,1991,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1992,1992,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1993,1993,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1994,1994,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1995,1995,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1996,1996,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1997,1997,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1998,1998,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,1999,1999,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2000,2000,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2001,2001,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2002,2002,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2003,2003,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2004,2004,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2005,2005,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2006,2006,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2007,2007,ha,12500.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2008,2008,ha,12450.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2009,2009,ha,12213.000000,Im
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2010,2010,ha,12965.000000,Im
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2011,2011,ha,13448.000000,Im
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2012,2012,ha,15000.000000,F
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2013,2013,ha,14424.000000,Im
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2014,2014,ha,13667.000000,Im
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2015,2015,ha,13617.000000,Im
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2016,2016,ha,13744.000000,Im
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2017,2017,ha,13796.000000,Im
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2018,2018,ha,13847.000000,Im
222,Tunisia,711,"Anise, badian, fennel, coriander",5312,Area harvested,2019,2019,ha,13899.000000,Im
222,Tunisia,711,"Anise, badian, fennel, coriander",5419,Yield,1985,1985,hg/ha,7280.000000,Fc
222,Tunisia,711,"Anise, badian, fennel, coriander",5419,Yield,1986,1986,hg/ha,7360.000000,Fc
222,Tunisia,711,"Anise, badian, fennel, coriander",5419,Yield,1987,1987,hg/ha,7440.000000,Fc
222,Tunisia,711,"Anise, badian, fennel, coriander",5419,Yield,1988,1988,hg/ha,7520.000000,Fc
222,Tunisia,711,"Anise, badian, fennel, coriander",5419,Yield,1989,1989,hg/ha,7600.000000,Fc
222,Tunisia,711,"Anise, badian, fennel, coriander",5419,Yield,1990,1990,hg/ha,7680.000000,Fc
222,Tunisia,711,"Anise, badian, fennel, coriander",5419,Yield,1991,1991,hg/ha,7760.000000,Fc
222,Tunisia,711,"Anise, badian, fennel, coriander",5419,Yield,1992,1992,hg/ha,7840.000000,Fc
222,Tunisia,711,"Anise, badian, fennel, coriander",5419,Yield,1993,1993,hg/ha,7920.000000,Fc
222,Tunisia,711,"Anise, badian, fennel, coriander",5419,Yield,1994,1994,hg/ha,7600.000000,Fc
222,Tunisia,711,"Anise, badian, fennel, coriander",5419,Yield,1995,1995,hg/ha,7748.000000,Fc
222,Tunisia,711,"Anise, badian, fennel, coriander",5419,Yield,1996,1996,hg/ha,7680.000000,Fc
